active,empno,company,active_pos,posno,poscompany,fname,mi,lname,annual,salary,unitrate,normunit,payfreq,posstart,posstop,fulltimeequiv,lsalary,nextpay,nextincr,jobcode,jobtitle,lasthire,trans_date,reason,userdef1,userdef2,userdef3,userdef4,userdef5,userdef6,ann_cost,level1,level2,level3,level4,level5,lastact,hrmsreas,hrmsdate,race,sex,education
"A","      110","ZSI","A","101","ZSI","Mary","M","Huang",27050.00000,520.19231,13.00481,40.00000,"W",03/01/1990,12/31/2099,1.00000,518.00000,06/01/1995,0.000,"SECY3","Secretary III",09/27/1989,03/01/1990,"NEW","","","","","","",27050.00,"SALES/MKTG","SALES","HQ","","",01/04/2000,"MERIT",06/01/1996,"","",""
"A","      122","ZSI","A","124","ZSI","John","P","McDowell",38800.00000,746.15385,18.65385,40.00000,"W",04/01/1990,12/31/2099,1.00000,700.00000,04/01/1995,0.000,"CONSUL","Consultant",10/29/1987,04/01/1990,"NEW","","","","","","",38800.00,"ENGINEERING","SOFTWARE","ATLANTA","","",01/04/2000,"ADJUST",04/01/1996,"","",""
"A","      131","ZSI","A","141","ZSI","James","J","Eagle",45000.00000,1730.76923,21.63462,80.00000,"B",01/01/1990,12/31/2099,1.00000,1650.00000,07/01/1995,0.000,"MANMGR","Manufacturing Man",09/28/1989,01/01/1990,"NEW","","","","","","",45000.00,"OPERATIONS","MAN","HQ","","",01/04/2000,"INC-DUTY",07/01/1994,"","",""
"A","      107","ZSI","A","185","ZSI","Marian","A","Juarez",18450.00000,354.80769,8.87019,40.00000,"W",04/09/1996,12/31/2099,1.00000,329.25000,04/15/1995,0.000,"SECY2","Secretary II",01/23/1989,04/09/1996,"NEW","","","","","","",18450.00,"CORP","ADMIN","HQ","","",01/04/2000,"VOL",04/15/1996,"","",""
"A","      126","ZSI","A","209","ZSI","Gail","S","Finn",21600.00000,830.76923,10.38462,80.00000,"B",08/10/1996,12/31/2099,1.00000,0.00000,08/28/1996,0.000,"SECY2","Secretary II",08/28/1995,08/10/1996,"NEW","","","","","","",21600.00,"FINANCE","ACCOUNTING","HQ","","",01/04/2000,"NEW HIRE",08/28/1995,"","",""
"A","      105","ZSI","A","183","ZSI","Pepper","S","Bandana",19760.00000,380.00000,9.50000,40.00000,"W",07/13/1997,12/31/2099,1.00000,0.00000,09/01/1996,0.000,"SECY2","Secretary II",06/01/1996,07/13/1997,"TRANS","","","","","","",19760.00,"OPERATIONS","MAN","HQ","","",01/04/2000,"NEW HIRE",06/01/1996,"","",""
"A","      118","ZSI","A","126","ZSI","Janet","A","Macleod",24000.00000,923.07692,11.53846,80.00000,"B",12/29/1997,12/31/2099,1.00000,852.40000,03/01/1995,0.000,"SALES2","Sales Rep II",03/09/1988,12/29/1997,"NEW","","","","","","",24000.00,"SALES/MKTG","SALES","ATLANTA","","",01/04/2000,"INC-DUTY",03/01/1996,"","",""
"A","      130","ZSI","A","014","ZSI","Christine","E","Attwater",19760.00000,380.00000,9.50000,40.00000,"W",05/15/1997,12/31/2099,1.00000,280.00000,07/01/1995,0.000,"SECY3","Secretary III",07/12/1988,05/15/1997,"TRANS","","","","","","",19760.00,"SALES/MKTG","SALES","NYC","","",01/04/2000,"MERIT",07/01/1994,"","",""
"A","      114","ZSI","A","184","ZSI","Judith","P","Rise",25500.00000,980.76923,12.25962,80.00000,"B",05/11/1995,12/31/2099,1.00000,941.90000,03/01/1995,0.000,"SALES2","Sales Rep II",11/27/1988,05/11/1995,"NEW","","","","","","",25500.00,"SALES/MKTG","SALES","NYC","","",01/04/2000,"MERIT",03/01/1996,"","",""
"A","      135","ZSI","A","029","ZSI","Albert","M","AlbrightA",68900.00000,2650.00000,33.12500,80.00000,"B",10/27/2004,04/15/2009,1.00000,1174.27200,01/15/1995,0.000,"HDWMGR","Hardware Manager",10/30/1988,03/09/2009,"BUD","","","","","","",68900.00,"ENGINEERING","HARDWARE","HQ","","",03/09/2009,"MERIT",09/01/1995,"","",""
"A","      121","ZSI","A","029","ZSI","Cornelia","B","Anderson",34694.00000,667.19240,16.67981,40.00000,"W",10/27/2004,12/31/2099,1.00000,525.00000,07/15/1995,0.000,"OPER2","Machine Oper II",02/10/1989,10/27/2004,"TERM","","","","","","",34694.00,"OPERATIONS","MAN","HQ","","",10/27/2004,"ADJUST",09/15/1996,"","",""
"A","      133","ZSI","A","029","ZSI","Tom","T","Garcia",33455.50000,1286.75000,16.08438,80.00000,"B",10/27/2004,12/31/2099,1.00000,632.25000,07/01/1996,0.000,"CSTACCT","Cost Account'g Ac",01/18/1991,10/27/2004,"DESC","","","","","","",33455.50,"FINANCE","ACCOUNTING","HQ","","",10/27/2004,"CONSULT",07/01/1995,"","",""
"A","      130","ZSI","A","124","ZSI","Christine","E","Attwater",19760.00000,380.00000,9.50000,40.00000,"W",10/28/2004,12/31/2099,1.00000,280.00000,07/01/1995,0.000,"SECY3","Secretary III",07/12/1988,10/28/2004,"ADD","","","","","","",19760.00,"SALES/MKTG","SALES","NYC","","",10/28/2004,"MERIT",07/01/1994,"","",""
"A","      105","ZSI","A","9999","ZSI","Pepper","S","Bandana",19760.00000,380.00000,9.50000,40.00000,"W",03/09/2009,12/31/2099,1.00000,0.00000,09/01/1996,0.000,"SECY2","Secretary II",06/01/1996,03/09/2009,"NEW","","","","","","",19760.00,"OPERATIONS","MAN","HQ","","",03/09/2009,"NEW HIRE",06/01/1996,"","",""
"A","      134","ZSI","A","029","ZSI","Donald","N","White",37190.00000,1430.38462,17.87981,80.00000,"B",03/09/2009,12/31/2099,0.50000,695.00000,03/30/1995,0.000,"PROG2","Programmer II",10/30/1985,03/09/2009,"BUD","","","","","","",18595.00,"ENGINEERING","SOFTWARE","HQ","","",03/09/2009,"ADJUST",03/30/1996,"","",""
"A","      110","ZSI","A","101","ZSI","Mary","M","Huang",24429.45000,469.79720,11.74493,80.00000,"B",03/01/1990,12/31/2099,1.00000,518.00000,07/01/2001,0.000,"SECY3","Secretary III",09/27/1989,03/31/2009,"Ab/Py/Or","","","","","","",24429.45,"OPERATIONS","MAN","HQ","","",03/31/2009,"FMLA",07/01/2002,"","",""
"A","      131","ZSI","A","141","ZSI","James","J","Eagle",42000.00000,1615.38462,20.19231,173.33300,"M",01/01/1990,12/31/2099,1.00000,1650.00000,07/01/2001,0.000,"MGRMAN","Manager, Manufact",09/28/1989,03/31/2009,"Ab/Py/Jb","","","","","","",42000.00,"OPERATIONS","MAN","HQ","","",03/31/2009,"PREVWPAY",01/01/2000,"","",""
"A","      107","ZSI","A","185","ZSI","Marian","A","Juarez",21245.70000,408.57120,10.21428,80.00000,"B",04/09/1996,12/31/2099,1.00000,329.25000,07/01/2001,0.000,"SECY2","Secretary II",01/23/1989,03/31/2009,"Ab/Py","","","","","","",21245.70,"CORP","ADMIN","HQ","","",03/31/2009,"PREVWPAY",01/01/1999,"","",""
"A","      126","ZSI","A","209","ZSI","Gail","S","Finn",22640.01000,870.76960,10.88462,173.33300,"M",08/10/1996,12/31/2099,1.00000,0.00000,07/01/2001,0.000,"SECY2","Secretary II",08/28/1995,03/31/2009,"Ab/Py","","","","","","",22640.01,"FINANCE","ACCOUNTING","HQ","","",03/31/2009,"PREVWPAY",01/01/2001,"","",""
"A","      105","ZSI","A","183","ZSI","Pepper","S","Bandana",26757.79000,514.57280,12.86432,80.00000,"B",07/13/1997,12/31/2099,1.00000,0.00000,07/01/2001,0.000,"OPER2","Machine Oper II",04/16/1988,03/31/2009,"Ab/Ac/Py/J","","","","","","",26757.79,"OPERATIONS","MAN","HQ","","",03/31/2009,"PREVWPAY",01/01/2001,"","",""
"A","      118","ZSI","A","126","ZSI","Janet","A","Krause",40000.00000,1538.46154,19.23077,173.33300,"M",12/29/1997,12/31/2099,1.00000,852.40000,07/01/2001,0.000,"SALES2","Sales Rep II",03/09/1988,03/31/2009,"Ab/Py/Nm/O","","","","","","",40000.00,"SALES/MKTG","SALES","EAST","","",03/31/2009,"ADJUST",01/01/1999,"","",""
"A","      130","ZSI","A","014","ZSI","Christine","E","Attwater",25303.49000,486.60560,12.16514,80.00000,"B",05/15/1997,12/31/2099,1.00000,280.00000,07/01/2001,0.000,"SECY3","Secretary III",07/12/1988,03/31/2009,"Ab/Py/Or","","","","","","",25303.49,"SALES/MKTG","SALES","HQ","","",03/31/2009,"PREVWPAY",07/12/1999,"","",""
"A","      114","ZSI","A","184","ZSI","Judith","P","Rise",39100.00000,1503.84615,18.79808,173.33300,"M",05/11/1995,12/31/2099,1.00000,941.90000,07/01/2001,0.000,"SALES2","Sales Rep II",11/27/1988,03/31/2009,"Ab/Py/Or","","","","","","",39100.00,"SALES/MKTG","SALES","HQ","","",03/31/2009,"MERIT",01/01/1999,"","",""
"A","      135","ZSI","A","029","ZSI","Albert","M","Albright",86547.00000,7212.25000,41.60921,173.33300,"M",10/27/2004,04/15/2009,1.00000,1174.27200,03/20/2005,0.000,"MGRMAN","Manager, Manufact",10/30/1988,03/31/2009,"Ab/Py/Jb/N","","","","","","",86547.00,"ENGINEERING","MAN","HQ","","",03/31/2009,"ADJUSTUP",04/01/2004,"","",""
"A","      121","ZSI","A","029","ZSI","Cornelia","B","Anderson",27645.03000,531.63520,13.29088,80.00000,"B",10/27/2004,12/31/2099,1.00000,525.00000,07/05/2002,0.000,"OPER3","Machine Oper III",02/10/1989,03/31/2009,"Ab/Py/Jb","","","","","","",27645.03,"OPERATIONS","MAN","HQ","","",03/31/2009,"PREVWPAY",01/05/2002,"","",""
"A","      133","ZSI","A","029","ZSI","Tom","T","Garcia",32493.32000,1249.74318,15.62179,173.33300,"M",10/27/2004,12/31/2099,1.00000,632.25000,07/01/2001,0.000,"CSTACCT","Cost Accounting R",01/18/1991,03/31/2009,"Ab/Py/Jb","","","","","","",32493.32,"FINANCE","ACCOUNTING","HQ","","",03/31/2009,"MERIT",01/01/1999,"","",""
"A","      130","ZSI","A","124","ZSI","Christine","E","Attwater",25303.49000,486.60560,12.16514,80.00000,"B",10/28/2004,12/31/2099,1.00000,280.00000,07/01/2001,0.000,"SECY3","Secretary III",07/12/1988,03/31/2009,"Ab/Py/Or","","","","","","",25303.49,"SALES/MKTG","SALES","HQ","","",03/31/2009,"PREVWPAY",07/12/1999,"","",""
"A","      105","ZSI","A","9999","ZSI","Pepper","S","Bandana",26757.79000,514.57280,12.86432,80.00000,"B",03/09/2009,12/31/2099,1.00000,0.00000,07/01/2001,0.000,"OPER2","Machine Oper II",04/16/1988,03/31/2009,"Ab/Ac/Py/J","","","","","","",26757.79,"OPERATIONS","MAN","HQ","","",03/31/2009,"PREVWPAY",01/01/2001,"","",""
"A","      134","ZSI","A","029","ZSI","Donald","N","White",38350.00000,1475.00000,18.43750,173.33300,"M",03/09/2009,12/31/2099,0.50000,695.00000,07/01/2001,0.000,"PROG2","Programmer II",10/30/1986,03/31/2009,"Ab/Ac/Py","","","","","","",19175.00,"ENGINEERING","SOFTWARE","HQ","","",03/31/2009,"PERFORM",01/01/2000,"","",""
"A","      110","ZSI","A","101","ZSI","Mary","M","Huang",24429.45000,469.79720,11.74493,40.00000,"W",03/01/1990,12/31/2099,1.00000,518.00000,07/01/2001,0.000,"SECY3","Secretary III",09/27/1989,10/08/2009,"Ab/Py","","","","","","",24429.45,"OPERATIONS","MAN","HQ","","",10/08/2009,"PREVWPAY",01/01/1999,"","",""
"A","      131","ZSI","A","141","ZSI","James","J","Eagle",42000.00000,1615.38462,20.19231,80.00000,"B",01/01/1990,12/31/2099,1.00000,1650.00000,07/01/2001,0.000,"MGRMAN","Manager, Manufact",09/28/1989,10/08/2009,"Ab/Py","","","","","","",42000.00,"OPERATIONS","MAN","HQ","","",10/08/2009,"PREVWPAY",01/01/2000,"","",""
"A","      107","ZSI","A","185","ZSI","Marian","A","Juarez",21245.70000,408.57120,10.21428,40.00000,"W",04/09/1996,12/31/2099,1.00000,329.25000,07/01/2001,0.000,"SECY2","Secretary II",01/23/1989,10/08/2009,"Ab/Py","","","","","","",21245.70,"CORP","ADMIN","HQ","","",10/08/2009,"PREVWPAY",01/01/1999,"","",""
"A","      118","ZSI","A","126","ZSI","Janet","A","Krause",40000.00000,1538.46154,19.23077,80.00000,"B",12/29/1997,12/31/2099,1.00000,852.40000,07/01/2001,0.000,"SALES2","Sales Rep II",03/09/1988,10/08/2009,"Ab/Py","","","","","","",40000.00,"SALES/MKTG","SALES","EAST","","",10/08/2009,"ADJUST",01/01/1999,"","",""
"A","      130","ZSI","A","014","ZSI","Christine","E","Attwater",25303.49000,486.60560,12.16514,40.00000,"W",05/15/1997,12/31/2099,1.00000,280.00000,07/01/2001,0.000,"SECY3","Secretary III",07/12/1988,10/08/2009,"Ab/Py","","","","","","",25303.49,"SALES/MKTG","SALES","HQ","","",10/08/2009,"PREVWPAY",07/12/1999,"","",""
"A","      114","ZSI","A","184","ZSI","Judith","P","Rise",39100.00000,1503.84615,18.79808,80.00000,"B",05/11/1995,12/31/2099,1.00000,941.90000,07/01/2001,0.000,"SALES2","Sales Rep II",11/27/1988,10/08/2009,"Ab/Py","","","","","","",39100.00,"SALES/MKTG","SALES","HQ","","",10/08/2009,"MERIT",01/01/1999,"","",""
"A","      135","ZSI","A","029","ZSI","Albert","M","Albright",68016.00000,2616.00000,32.70000,80.00000,"B",10/27/2004,04/15/2009,1.00000,1174.27200,07/01/2001,0.000,"MGRMAN","Manager, Manufact",10/30/1988,10/08/2009,"Ab/Py","","","","","","",68016.00,"ENGINEERING","MAN","HQ","","",10/08/2009,"MERIT",10/30/2000,"","",""
"A","      121","ZSI","A","029","ZSI","Cornelia","B","Anderson",27645.03000,531.63520,13.29088,40.00000,"W",10/27/2004,12/31/2099,1.00000,525.00000,07/05/2002,0.000,"OPER3","Machine Oper III",02/10/1989,10/08/2009,"Ab/Py","","","","","","",27645.03,"OPERATIONS","MAN","HQ","","",10/08/2009,"PREVWPAY",01/05/2002,"","",""
"A","      133","ZSI","A","029","ZSI","Tom","T","Garcia",32493.32000,1249.74318,15.62179,80.00000,"B",10/27/2004,12/31/2099,1.00000,632.25000,07/01/2001,0.000,"CSTACCT","Cost Accounting R",01/18/1991,10/08/2009,"Ab/Py","","","","","","",32493.32,"FINANCE","ACCOUNTING","HQ","","",10/08/2009,"MERIT",01/01/1999,"","",""
"A","      130","ZSI","A","124","ZSI","Christine","E","Attwater",25303.49000,486.60560,12.16514,40.00000,"W",10/28/2004,12/31/2099,1.00000,280.00000,07/01/2001,0.000,"SECY3","Secretary III",07/12/1988,10/08/2009,"Ab/Py","","","","","","",25303.49,"SALES/MKTG","SALES","HQ","","",10/08/2009,"PREVWPAY",07/12/1999,"","",""
"A","      134","ZSI","A","029","ZSI","Donald","N","White",38350.00000,1475.00000,18.43750,80.00000,"B",03/09/2009,12/31/2099,0.50000,695.00000,07/01/2001,0.000,"PROG2","Programmer II",10/30/1986,10/08/2009,"Ab/Py","","","","","","",19175.00,"ENGINEERING","SOFTWARE","HQ","","",10/08/2009,"PERFORM",01/01/2000,"","",""
"A","      110","ZSI","A","101","ZSI","Mary","M","Huang",39090.63000,751.74286,18.79357,40.00000,"W",03/01/1990,12/31/2099,1.00000,518.00000,01/01/2008,0.000,"SECY3","Secretary III",09/27/1989,10/19/2009,"Ab/Py","","","","","","",39090.63,"OPERATIONS","MAN","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      131","ZSI","A","141","ZSI","James","J","Eagle",70019.36000,2693.05245,33.66316,80.00000,"B",01/01/1990,12/31/2099,1.00000,1650.00000,01/01/2008,0.000,"MGRMAN","Manager, Manufacturing",09/28/1989,10/19/2009,"Ab/Py/Jb","","","","","","",70019.36,"OPERATIONS","MAN","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      107","ZSI","A","185","ZSI","Marian","A","Juarez",34491.73000,663.30252,16.58256,40.00000,"W",04/09/1996,12/31/2099,1.00000,329.25000,01/01/2008,0.000,"EX ASST","Executive Assistant",01/23/1989,10/19/2009,"Ab/Py/Jb","","","","","","",34491.73,"CORP","ADMIN","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      118","ZSI","A","126","ZSI","Janet","A","Krause",47824.11000,1839.38892,22.99236,80.00000,"B",12/29/1997,12/31/2099,1.00000,852.40000,01/01/2008,0.000,"SALES2","Sales Rep II",03/09/1988,10/19/2009,"Ab/Py","","","","","","",47824.11,"SALES/MKTG","SALES","EAST","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      130","ZSI","A","014","ZSI","Christine","E","Attwater",28812.29000,554.08255,13.85206,40.00000,"W",05/15/1997,12/31/2099,1.00000,280.00000,01/01/2008,0.000,"SECY2","Secretary II",07/12/1988,10/19/2009,"Ab/Py/Jb","","","","","","",28812.29,"SALES/MKTG","SALES","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      114","ZSI","A","184","ZSI","Judith","P","Rise",94299.51000,3626.90416,45.33630,80.00000,"B",05/11/1995,12/31/2099,1.00000,941.90000,01/01/2008,0.000,"SALES2","Sales Rep II",11/27/1988,10/19/2009,"Ab/Py","","","","","","",94299.51,"SALES/MKTG","SALES","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      135","ZSI","A","029","ZSI","Albert","M","Albright",80480.71000,3095.41176,38.69265,80.00000,"B",10/27/2004,04/15/2009,1.00000,1174.27200,01/01/2008,0.000,"VPENGR","V.P. Engineering",10/30/1988,10/19/2009,"Ab/Py/Jb","","","","","","",80480.71,"ENGINEERING","MAN","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      121","ZSI","A","029","ZSI","Cornelia","B","Anderson",34491.73000,663.30252,16.58256,40.00000,"W",10/27/2004,12/31/2099,1.00000,525.00000,01/01/2008,0.000,"OPER3","Machine Oper III",02/10/1989,10/19/2009,"Ab/Py","","","","","","",34491.73,"OPERATIONS","MAN","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      133","ZSI","A","029","ZSI","Tom","T","Garcia, CPP",38849.10000,1494.19633,18.67745,80.00000,"B",10/27/2004,12/31/2099,1.00000,632.25000,01/01/2008,0.000,"CSTACCT","Cost Accounting Rep",01/18/1991,10/19/2009,"Ab/Py/Jb/N","","","","","","",38849.10,"FINANCE","ACCOUNTING","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      130","ZSI","A","124","ZSI","Christine","E","Attwater",28812.29000,554.08255,13.85206,40.00000,"W",10/28/2004,12/31/2099,1.00000,280.00000,01/01/2008,0.000,"SECY2","Secretary II",07/12/1988,10/19/2009,"Ab/Py/Jb","","","","","","",28812.29,"SALES/MKTG","SALES","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      134","ZSI","A","029","ZSI","Donald","N","White",80480.71000,3095.41176,38.69265,80.00000,"B",03/09/2009,12/31/2099,0.50000,695.00000,01/01/2008,0.000,"PROG2","Programmer II",10/30/1986,10/19/2009,"Ab/Py","","","","","","",40240.36,"ENGINEERING","SOFTWARE","HQ","","",10/19/2009,"PREVWPAY",01/01/2007,"","",""
"A","      110","ZSI","A","101","ZSI","Mary","M","Huang",24429.45000,469.79720,11.74493,80.00000,"B",03/01/1990,12/31/2099,1.00000,518.00000,07/01/2001,0.000,"SECY3","Secretary III",09/27/1989,10/20/2009,"Ab/Py","","","","","","",24429.45,"OPERATIONS","MAN","HQ","","",10/20/2009,"FMLA",07/01/2002,"","",""
"A","      107","ZSI","A","185","ZSI","Marian","A","Juarez",21245.70000,408.57120,10.21428,80.00000,"B",04/09/1996,12/31/2099,1.00000,329.25000,07/01/2001,0.000,"SECY2","Secretary II",01/23/1989,10/20/2009,"Ab/Py/Jb","","","","","","",21245.70,"CORP","ADMIN","HQ","","",10/20/2009,"PREVWPAY",01/01/1999,"","",""
"A","101","ZSI","A","100-2","ZSI","Donald","A","Adams",155000.00000,12916.66667,74.51937,173.33300,"M",10/19/2009,12/31/2099,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,10/19/2009,"Ab/At","","","","","","",155000.00,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",04/01/2004,"","",""
"A","101","ZSI","I","100-2","ZSI","Donald","A","Adams",155000.00000,12916.66667,74.51937,173.33300,"M",10/19/2009,10/19/2009,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,10/19/2009,"Ab/At","","","","","","",155000.00,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",04/01/2004,"","",""
"A","101","ZSI","A","100-2","ZSI","Donald","A","Adams",155000.00000,12916.66667,74.51937,173.33300,"M",10/19/2009,12/31/2099,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,10/19/2009,"Ab/At","","","","","","",155000.00,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",04/01/2004,"","",""
"A","101","ZSI","I","100-2","ZSI","Donald","A","Adams",155000.00000,12916.66667,74.51937,173.33300,"M",10/19/2009,10/19/2009,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,10/19/2009,"Ab/At","","","","","","",155000.00,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",04/01/2004,"","",""
"A","104","ZSI","A","100-2","ZSI","Donald","A","Adams",155000.00000,12916.66667,0.00000,80.00000,"B",01/01/1999,12/31/2099,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,01/01/1999,"Ab/At","","","","","","",31138.45,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",01/01/1999,"","",""
"A","101","ZSI","A","149","ZSI","Donald","A","Adams",155000.00000,12916.66667,0.00000,173.33300,"M",04/01/2004,12/31/2099,0.42470,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,04/01/2004,"Ab/At","","","","","","",155000.00,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",04/01/2004,"","",""
"A","106","ZSI","A","149","ZSI","Donald","A","Adams",155000.00000,12916.66667,0.00000,173.33300,"M",04/01/2004,12/31/2099,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,04/01/2004,"Ab/At","","","","","","",57150.00,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",04/01/2004,"","",""
"A","109","ZSI","A","183","ZSI","Donald","A","Adams",155000.00000,12916.66667,0.00000,173.33300,"M",01/01/1999,12/31/2099,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,01/01/1999,"Ab/At","","","","","","",50000.00,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",01/01/1999,"","",""
"A","107","ZSI","A","182.1","ZSI","Donald","A","Adams",155000.00000,12916.66667,0.00000,80.00000,"B",10/28/2004,12/31/2099,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,10/28/2004,"Ab/At","","","","","","",21245.70,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",01/01/1999,"","",""
"A","110","ZSI","A","184","ZSI","Donald","A","Adams",155000.00000,12916.66667,0.00000,80.00000,"B",07/01/2002,12/31/2099,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,07/01/2002,"Ab/At","","","","","","",24429.45,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",07/01/2002,"","",""
"A","113","ZSI","A","185","ZSI","Donald","A","Adams",155000.00000,12916.66667,0.00000,80.00000,"B",01/01/2000,12/31/2099,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,01/01/2000,"Ab/At","","","","","","",29253.33,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",01/01/2000,"","",""
"A","115","ZSI","A","209","ZSI","Donald","A","Adams",155000.00000,12916.66667,0.00000,173.33300,"M",01/01/1999,12/31/2099,1.00000,4676.92640,03/20/2005,0.000,"PRES","President",02/12/1976,01/01/1999,"Ab/At","","","","","","",37200.00,"CORP","ADMIN","HQ","","",10/20/2009,"MERIT",01/01/1999,"","",""
